weekday,title,artists,ratings
Sunday,사람은 고쳐 ...,"['염라 ', ' 구일하']",9.92
Sunday,오늘 밤만 재...,"['유나나 ', ' 해번']",9.76
Sunday,오른눈이 보는...,['코어'],9.97
Sunday,마법스크롤 상...,"['엄재경 ', ' 호패']",9.96
Sunday,신이 담긴 아이,"['건치 ', ' 호진']",9.91
Sunday,보스의 노골적...,"['팀솜사탕 ', ' 반지은 ', ' 시...']",9.72
Sunday,보통아이,"['까를로스 ', ' 범스테드']",9.80
Sunday,취향 소개소,['이다몽'],9.95
Sunday,혀로 만난 사이,['집손이'],8.62
Sunday,황제에게 하트...,"['코코넛베리,율림니 ', ' 6S']",9.63
Sunday,조선여우스캔들,"['문종호 ', ' 정후 ', ' 차소희']",9.93
Sunday,당신의 여자가...,"['팀아가페 ', ' 별규']",9.01
Sunday,"라커, 오프너","['만취 ', ' 바른꽃']",9.93
Sunday,데이즈,['양수'],7.99
Sunday,불순물,['우열'],9.84
Sunday,독신마법사 기...,"['재윤 ', ' 기르답']",9.94
Sunday,랑데뷰,['제로'],9.93
Sunday,거래하실래요?,"['99C ', ' 백도']",9.90
Sunday,"구해줘, 호구!",['기천'],9.91
Sunday,푸른불꽃,['닺'],9.83
Sunday,다시 또 봄,['이힝'],9.91
Sunday,짝사랑의 유서,['군밤'],9.90
Sunday,제타,['하지'],9.78
Sunday,패션쇼,['로커8'],9.83
Sunday,폰투스,"['운 ', ' 한큰빛']",9.87
Sunday,6월의 라벤더,"['밤희 ', ' 게살']",9.91
